gloss,age,role,Vqilai,qilai_shenme
把 它 打 乱 了 再 拼 起来 就 行 了,42,child,拼, 就 行 了
先 把 面 涂 起来,42,adult,涂,NA
一 次 都 把 它 收 起来,42,adult,收,NA
一 次 都 把 它 收 起来,42,adult,收,NA
爸爸 妈妈 一 走 四 只 皮皮鼠 从 床 上 爬 起来,42,adult,爬,NA
一 次 都 把 它 收 起来,42,adult,收,NA
然后 就 呜 呜 地 哭 了 起来,42,adult,哭,NA
你 搭 起来 的 这 个 是 什么 呀,48,adult,搭, 的 这 个 是 什么 呀
插 起来,48,adult,插,NA
然后 把 它 放 起来,48,adult,放,NA
拿 起来,48,adult,拿,NA
你 试 一 下 你 插 起来 的 这 个 是 像 什么 呀,48,adult,插, 的 这 个 是 像 什么 呀
我们 把 它 收 起来 好吧,48,adult,收, 好吧
收 起来 好 不 好 啊,48,adult,收, 好 不 好 啊
收 起来,48,adult,收,NA
然后 白 的 白 的 几 个 收 起来,48,adult,收,NA
收 起来,48,adult,收,NA
小 兔子 不 能 起来,42,child,能,NA
嗳 不 能 起来,42,adult,能,NA
要 不 然 它 竖 不 起来 的,48,adult,竖, 的
它 竖 不 起来,48,adult,竖,NA
好 收 起来,48,adult,收,NA
你 这样 放 纸头 全 被 你 画 起来 了,42,adult,画, 了
你 把 那个 全 收 起来,48,adult,收,NA
数 不 起来,48,child,数,NA
数 不 起来 啊,48,adult,数, 啊
我 画 不 起来 这 个 房子 了,48,child,画, 这 个 房子 了
收 起来,42,adult,收,NA
噢 盖 起来,48,adult,盖,NA
对 盖 起来,48,adult,盖,NA
然后 用 细 铁丝 把 它 绑 起来 了,42,adult,绑, 了
收 起来,48,child,收,NA
先 收 起来,48,adult,收,NA
盖 起来,48,adult,盖,NA
连 起来,48,adult,连,NA
拍 不 起来,48,adult,拍,NA
拍 不 起来 下 次 再 拍 啊,48,adult,拍, 下 次 再 拍 啊
我 拍 不 起来 了,48,child,拍, 了
妈妈 小 球 拍 不 起来,48,child,拍,NA
搭 起来 看 像 什么 啊 好,48,adult,搭, 看 像 什么 啊 好
我 插 起来 的 这 个 像 什么 呀,48,adult,插, 的 这 个 像 什么 呀
这 个 放 起来 对吗,48,adult,放, 对吗
自己 玩 完 了 要 收 起来 对吗,48,adult,收, 对吗
妈 给 你 讲 你 先 把 这 个 边 勾 起来,42,adult,勾,NA
这 个 也 收 起来 不 玩 啦 阿 是 啊,48,adult,收, 不 玩 啦 阿 是 啊
变成 矮 一点 的 房子 造 起来 好 不 好,48,adult,造, 好 不 好
四 只 皮皮鼠 就 跳 起来 了 吃 跳跳糖 了,48,adult,跳, 了 吃 跳跳糖 了
拼 起来,48,adult,拼,NA
这样 竖 起来 变成 了 什么 呀,48,adult,竖, 变成 了 什么 呀
爸爸 妈妈 一 走 他们 就 玩 起来 了 哦,48,adult,玩, 了 哦
把 眼睛 闭 起来 了,42,adult,闭, 了
闭 起来 了,42,adult,闭, 了
腾 得 一 下 就 起来 了 是 不是,42,adult,就, 了 是 不是
把 笔 收 起来,42,adult,收,NA
好 收 起来,42,adult,收,NA
把 它 收 起来,42,adult,收,NA
收 起来,42,adult,收,NA
收 起来,42,adult,收,NA
收 起来,42,adult,收,NA
把 它 给 收 起来,42,adult,收,NA
把 你 的 画 也 收 起来,42,adult,收,NA
把 图 收 起来,48,child,收,NA
好 把 全部 收 起来,48,adult,收,NA
收 起来,42,adult,收,NA
盖 起来,42,adult,盖,NA
全部 收 起来,48,child,收,NA
来 把 它们 全部 放 起来,48,adult,放, 把 它们 全部 放 起来
把 它 拼 起来,48,adult,拼,NA
把 它 放 起来,48,adult,放,NA
把 这 个 放 起来 好吗,48,adult,放, 好吗
把 它 捡 起来,42,adult,捡,NA
拍 起来,48,adult,拍,NA
把 它 扶 起来,48,adult,扶,NA
站 起来,48,adult,站,NA
把 那个 捡 起来,48,adult,捡,NA
我们 一 个 还 没 搭 起来,48,adult,搭,NA
把 蜡笔 收 起来 了 啊,48,adult,收, 了 啊
我们 一 个 也 没 搭 起来,48,adult,搭,NA
把 那个 收 起来,48,adult,收,NA
快 捡 起来,48,adult,捡,NA
收 起来 吧,48,adult,收, 吧
把 积木 收 起来,48,adult,收,NA
好 把 蜡笔 收 起来,48,adult,收,NA
那 你 把 它 放 起来,48,adult,放,NA
那 我们 试 着 把 它 玩 起来 好 不 好,48,adult,玩, 好 不 好
把 它们 一起 拼 起来,48,adult,拼,NA
然后 你 想 不 想 让 它 飞 起来,48,adult,飞,NA
然后 就 东张张西望望 然后 就 哼哼唧唧 地 哭 了 起来,48,adult,哭,NA
拼 起来,48,adult,拼,NA
看 怎么 把 它 拼 起来,48,adult,拼,NA
把 它 收 起来,48,adult,收,NA
收 起来 吧,48,adult,收, 吧
看 能 不 能 拍 起来,48,adult,拍,NA
脚 起来 了,48,child,脚, 了
哎哟 把 脚 抬 起来 了,48,adult,抬, 了
还 用 铁丝 绑 起来,48,adult,绑,NA
你 看 用 铁丝 把 它 捆 了 起来 了,48,adult,捆, 了
玩 一下 我们 就 收 起来,48,adult,收,NA
把 它 涂 起来,48,child,涂,NA
要 把 它 涂 起来,48,child,涂,NA
兔 圆圆 起来,48,adult,圆,NA
连 起来,48,adult,连,NA
然后 就 哼哼唧唧 地 哭 了 起来,48,adult,哭,NA
连 起来,48,adult,连,NA
来 站 起来,48,adult,站, 站 起来
捡 起来 拍 几 下,48,adult,捡, 拍 几 下
这 个 纸 翘 起来 了,48,adult,翘, 了
收 起来 吧,48,adult,收, 吧
脚 还 没 画 起来,48,adult,画,NA
白 鹅 妈妈 走 了 以后 小 星星 又 哼哼唧唧 地 哭 了 起来,48,adult,哭,NA
把 那个 三角形 捡 起来,48,adult,捡,NA
收 起来 吧,48,adult,收, 吧
站 起来,48,adult,站,NA
把 盖子 盖 起来,48,adult,盖,NA
有 什么 办法 把 它 装 起来,48,adult,装,NA
吃 跳跳糖 跳 起来 了,48,adult,跳, 了
头 抬 起来,48,adult,抬,NA
妈妈 他 眼睛 怎么 闭 起来 了,48,child,闭, 了
小朋友 眼睛 怎么 闭 起来 啦,48,child,闭, 啦
他 没 有 闭 起来,48,adult,闭,NA
快 拿 起来,48,adult,拿,NA
把 盖子 插 起来,48,adult,插,NA
一 冷 眼睛 就 闭 起来 了,48,adult,闭, 了
它们 脚 可以 并 起来 成 这 个 样子,48,adult,并, 成 这 个 样子
把 这 个 纸 叠 起来,48,adult,叠,NA
把 它 投 起来,48,child,投,NA
但是 你 要 想想 怎样 才能 把 这 个 玩具 装 起来 呢,48,adult,装, 呢
好 把 盖子 盖 起来,48,adult,盖,NA
来 搭 起来,54,adult,搭, 搭 起来
妈妈 告诉 你 把 它 全部 围 起来,54,adult,围,NA
为什么 要 把 嘴巴 捂 起来,48,adult,捂,NA
围 起来,54,adult,围,NA
拼 起来,48,adult,拼,NA
拼 起来,48,adult,拼,NA
那 把 它 收 起来 吧,48,adult,收, 吧
天空 中 的 太阳 早晨 太阳 升 起来 的 时候 什么 颜色,48,adult,升, 的 时候 什么 颜色
把 这 个 放 起来,48,adult,放,NA
把 它 这 个 站 起来,48,child,站,NA
噢 他 是 用 小 细 的 铁丝 一 捆 一 捆 把 他 捆 起来 的 不 让 乌龟 壳 掉 下来,48,adult,捆, 的 不 让 乌龟 壳 掉 下来
把 这 个 收 起来,48,adult,收,NA
把 这 个 放 起来,48,adult,放,NA
把 它 把 它 脸 捆 起来 干 什么 呀,48,child,捆, 干 什么 呀
画 好 给 妈妈 带 回家 贴 起来 是 不是,48,adult,贴, 是 不是
不管 怎么样 我们 待会 贴 起来 好 不 好,48,adult,贴, 好 不 好
要 用 铁丝 把 它 捆 起来 让 它 站 住,48,adult,捆, 让 它 站 住
收 起来 吧,48,adult,收, 吧
收 起来,48,adult,收,NA
把 这 个 收 起来,54,adult,收,NA
我 想 不 起来 鱼 就 画 小 火车 吧,54,child,想, 鱼 就 画 小 火车 吧
这 个 这 个 收 起来,48,adult,收,NA
好 把 箱子 盖 起来,48,adult,盖,NA
安 不 起来,54,child,安,NA
安 不 起来,54,child,安,NA
你 看 哪里 还 缺 就 把 它 补 起来 哦,54,adult,补, 哦
你 把 这 四 个 扇形 拼 起来,54,adult,拼,NA
咱们 把 这 个 东西 收 起来 啊,48,adult,收, 啊
把 它 种 起来 说不定 还 能 结 出 什么 美味 的 果子 呢,48,adult,种, 说不定 还 能 结 出 什么 美味 的 果子 呢
把 它 拼 起来 拼 起来,54,adult,拼, 拼 起来
你 把 它 提 起来 就 可以 了,54,adult,提, 就 可以 了
大家 热火朝天 地 干 了 起来,48,adult,干,NA
我们 收 起来 吧,54,adult,收, 吧
跳 起来 了,48,adult,跳, 了
然后 啊 就 哼哼唧唧 的 哭 了 起来,54,adult,哭,NA
它 怎么 会 哭 起来 呢,54,adult,哭, 呢
起来 啦,54,child,NA, 啦
起来 之后 了 怎样 呢,54,adult,NA, 之后 了 怎样 呢
小 星星 掉 在 大 街 上 它 东张张西望望 然后 就 哼哼唧唧 的 哭 起来,54,adult,哭,NA
这 我 收 起来,48,adult,收,NA
这 个 跳跳糖 一 吃 砰 砰 就 跳 起来 了,48,adult,跳, 了
就是 这 个 跳跳糖 一 吃 就 砰 砰 起来 了,48,adult,砰, 了
哎 机器人 站 起来 了,54,adult,站, 了
把 这 个 收 起来,54,adult,收,NA
嗯 并 起来,54,adult,并,NA
并 起来,54,adult,并,NA
去 把 它 拣 起来 吧,54,adult,拣, 吧
我 也 想 不 起来 蓝 颜色 有 什么 动物,48,adult,想, 蓝 颜色 有 什么 动物
收 起来,54,adult,收,NA
你 不 玩 收 起来,54,adult,收,NA
哎 你 不 玩 收 起来,54,adult,收,NA
小 星星 啊 又 哼哼唧唧 的 哭 了 起来,54,adult,哭,NA
这 象 不 起来 嘛,54,child,象, 嘛
那 你 把 这 个 放 起来 好 不 好,48,adult,放, 好 不 好
去 拣 起来,54,child,拣,NA
嗯 把 这 个 收 起来,54,adult,收,NA
白 鹅 妈妈 走 了 小 星星 还 是 哼哼唧唧 的 哭 起来 了,54,adult,哭, 了
嗯 你 画 起来 的 这 一 只 皮皮鼠 在 干 嘛 啊,48,adult,画, 的 这 一 只 皮皮鼠 在 干 嘛 啊
快 捡 起来,54,adult,捡,NA
拿 不 起来,54,adult,拿,NA
把 这 七 排 起来 啊 嗯,54,adult,排, 啊 嗯
然后 就 哼哼唧唧 地 哭 了 起来,48,adult,哭,NA
你 把 它 收 起来 吧,54,adult,收, 吧
抛 起来,54,adult,抛,NA
它 闭 起来 了,54,child,闭, 了
它 闭 起来 了,54,child,闭, 了
爸爸 妈妈 又 跑 起来 看 了,48,adult,跑, 看 了
眼睛 它 要 闭 起来,54,child,闭,NA
我 现在 把 东西 收拾 起来,48,child,拾,NA
宝宝 我们 把 它 收 起来 了,54,adult,收, 了
收 起来 吧,54,adult,收, 吧
收 起来,54,child,收,NA
你 把 它 收 起来,54,adult,收,NA
宝宝 把 它 的 颜色 涂 起来 好 不 好 啊,54,adult,涂, 好 不 好 啊
怎么 拍 的 起来 呢,54,child,的, 呢
你 看 这 个 整个 都 包 起来 了 是 不是 啊,48,adult,包, 了 是 不是 啊
你 代 我 拼 起来,54,child,拼,NA
拍 不 起来,54,child,拍,NA
拍 不 起来,54,child,拍,NA
砰 砰 跳 起来 了,48,adult,跳, 了
拍 不 起来,54,adult,拍,NA
站 起来,54,adult,站,NA
把 它 收 起来,54,adult,收,NA
把 小 星星 捆 起来,48,adult,捆,NA
他 把 他 捆 起来,48,child,捆,NA
又 在 橱子 上面 砰 砰 跳 起来 了,48,adult,跳, 了
摆 起来,54,adult,摆,NA
拍 不 起来,54,child,拍,NA
可是 搭 不 起来 啊,54,child,搭, 啊
先 把 这 个 头 搭 起来,54,adult,搭,NA
这 个 球 站 不 起来 吧,54,adult,站, 吧
收 起来,58,adult,收,NA
上 床 睡觉 怎么 又 会 跳 起来 了,54,adult,跳, 了
那 妈妈 把 这 个 收 起来 了 啊,54,adult,收, 了 啊
挂 起来,48,adult,挂,NA
它们 爬 起来 吃 跳跳糖 了,54,adult,爬, 吃 跳跳糖 了
小 星星 又 哼哼唧唧 地 哭 了 起来,48,adult,哭,NA
挡 起来,60,child,挡,NA
把 小 树 木头 把 这 个 小 树 给 挡 起来,60,child,挡,NA
四 只 皮皮鼠 起来 刷 好 牙 起来,54,adult,鼠, 刷 好 牙 起来
头 也 摔 疼 了 膀子 也 摔 断 了 尾巴 也 竖 起来 了 对 不 对,54,adult,竖, 了 对 不 对
它 又 在 房间 里面 跳 起来 了,48,adult,跳, 了
你 怎么 想 起来 的,60,adult,想, 的
把 它 拼 起来,54,adult,拼,NA
再 找 把 它 拼 起来,54,adult,拼,NA
全部 做 起来 了,60,adult,做, 了
要 把 它 连 起来 啊,60,adult,连, 啊
周景 把 它 收 起来 吧,54,adult,收, 吧
那个 做 不 起来 了,60,adult,做, 了
红色 的 做 不 起来 了,60,adult,做, 了
盖 起来 啊,54,child,盖, 啊
把 这边 两 个 也 搭 起来,54,adult,搭,NA
然后 再 找 其余 的 搭 起来,60,adult,搭,NA
怎么 装 起来,60,adult,装,NA
那 个 靠 起来,60,adult,靠,NA
好 把 它 收 起来,60,adult,收,NA
噢 我 想 不 起来 了,54,child,想, 了
把 套子 装 起来,58,adult,装,NA
把 这 个 再 拼 起来,54,adult,拼,NA
你 看 我 一 个 放 上去 其他 的 就 翘 起来 了,60,adult,翘, 了
盖 起来,60,adult,盖,NA
这样 盖 不 起来 了,54,adult,盖, 了
盖 起来,60,adult,盖,NA
砰 又 跳 起来 了 对吧,54,adult,跳, 了 对吧
插 起来 是 不 是 呀,60,adult,插, 是 不 是 呀
把 这 个 收 起来,58,adult,收,NA
这 个 要 扣 起来,58,child,扣,NA
把 这 个 蒙 起来 才 是 子 呢,54,adult,蒙, 才 是 子 呢
然后 呢 就 在 衣柜 上面 乒乒乓乓 又 跳 起来 了,54,adult,跳, 了
这 个 半边 捂 起来 才 是 子,54,adult,捂, 才 是 子
不 知道 你 还 能 拼 起来 呀,60,adult,拼, 呀
你 看 我 马上 就 要 拼 起来 了,60,adult,拼, 了
他们 跳 起来 了,58,child,跳, 了
插 起来,60,adult,插,NA
来 把 这 个 收 起来,54,adult,收, 把 这 个 收 起来
然后 啊 就 哼唧哼唧 地 哭 了 起来,54,adult,哭,NA
拣 起来,60,adult,拣,NA
拣 起来,60,adult,拣,NA
把 这 个 收 起来,54,adult,收,NA
呜呜 哭 起来,54,adult,哭,NA
吃 了 跳跳糖 就 跳 起来 了,58,adult,跳, 了
看 我 拼 起来 了 吧,60,adult,拼, 了 吧
摆 不 起来 了 吗,60,adult,摆, 了 吗
把 这 个 纸 也 折 起来,54,adult,折,NA
把 折 起来,54,adult,折,NA
妈妈 把 它 盖 起来,54,adult,盖,NA
这 个 摆 不 起来 了,60,adult,摆, 了
然后 就 哭 起来 了,60,adult,哭, 了
插 起来,54,adult,插,NA
妈妈 拆 起来 了,60,adult,拆, 了
先 把 这 个 搞 起来,61,adult,搞,NA
用 细 铁丝 把 他 捆 起来 了,60,adult,捆, 了
先 把 这 个 安 起来,60,adult,安,NA
把 它 拼 起来,60,adult,拼,NA
好好 的 把 它 装 起来,54,adult,装,NA
拍 不 起来 了 吧,60,adult,拍, 了 吧
让 它 站 起来,60,adult,站,NA
你 举 起来,60,adult,举,NA
腿 站 起来,60,adult,站,NA
应该 这 个 样子 把 它 搭 起来,60,adult,搭,NA
摆 起来 啊,60,adult,摆, 啊
这 个 小 星星 啊 又 是 哼唧哼唧 地 哭 起来 了,54,adult,哭, 了
嗯 搭 不 起来,60,child,搭,NA
把 它 扶 起来,60,adult,扶,NA
搭 不 起来 妈妈 来 帮助,60,adult,搭, 妈妈 来 帮助
可是 变 不 起来 啊,54,child,变, 啊
你 再 把 它 重新 插 起来,60,adult,插,NA
都 绑 起来 了 吧,58,adult,绑, 了 吧
你 要 把 它 连 起来,60,child,连,NA
你 要 把 它 连 起来,60,child,连,NA
他们 看 起来 好像 是 睡觉,60,adult,看, 好像 是 睡觉
拿 不 起来 了,60,child,拿, 了
连 起来 就 砸 不 碎 了,60,child,连, 就 砸 不 碎 了
我 想 你 应该 能 摆 起来,60,adult,摆,NA
这 样子 也 可以 连 起来 是 吧,54,adult,连, 是 吧
他们 跳 起来 是 因为 爸爸 妈妈 在 哪里 呀,60,adult,跳, 是 因为 爸爸 妈妈 在 哪里 呀
哎 不是 关 起来 了 嘛,60,adult,关, 了 嘛
绿 颜色 还 没 把 它 拼 起来,60,child,拼,NA
它 还 能 站 起来 还 能 站 起来,60,child,站, 还 能 站 起来
他 就 哭 起来,60,adult,哭,NA
他 就 哭 起来 了 对吧,60,adult,哭, 了 对吧
飞机 刚 飞 起来,60,child,飞,NA
拼 起来,60,adult,拼,NA
把 这 笔 给 你 收 起来,60,adult,收,NA
把 这 个 盖 起来,54,adult,盖,NA
把 盖子 盖 起来,54,adult,盖,NA
把 它 收 起来,60,adult,收,NA
把 东西 放 起来,60,adult,放,NA
捡 起来,60,adult,捡,NA
我 先 把 他 搭 起来,60,adult,搭,NA
把 头 抬 起来,60,adult,抬,NA
那 我们 把 这 个 玩具 收 起来,60,adult,收,NA
怎么 变 不 起来 啊,54,child,变, 啊
把 这些 玩具 收 起来,60,adult,收,NA
收 起来,60,adult,收,NA
怎么 变 起来 啊,54,child,变, 啊
站 起来,60,adult,站,NA
如果 用 白 颜色 画 起来 怎么样,60,adult,画, 怎么样
一 道 一 道 画 起来,60,adult,画,NA
把 它 套 起来,60,adult,套,NA
自己 把 它 收 起来,60,adult,收,NA
把 门 关 起来 了,60,adult,关, 了
嗯 里面 有 人 来 了 就 把 它 关 起来 了,60,child,关, 了 就 把 它 关 起来 了
关 起来 好嘞,60,child,关, 好嘞
你 搭 一 个 小 花 起来 好 嘛,60,adult,花, 好 嘛
锁 起来,60,adult,锁,NA
站 起来,60,adult,站,NA
连 起来 的 是 短的,60,adult,连, 的 是 短的
把 这 两 个 拼 起来,66,adult,拼,NA
我们 把 这 个 收 起来 吧,66,adult,收, 吧
收 起来 玩 这 个 啊,66,adult,收, 玩 这 个 啊
这 个 图 我们 也 收 起来 啊,66,adult,收, 啊
盖子 盖 起来,66,adult,盖,NA
你 把 机器人 装 起来 吧,66,adult,装, 吧
都 跳 起来 了,60,adult,跳, 了
把 这些 收 起来,61,adult,收,NA
收 起来,66,adult,收,NA
把 它 收 起来,60,adult,收,NA
不 要 我 你 搭 不 起来,66,adult,搭,NA
放 起来,66,adult,放,NA
她 笑 起来 了,66,child,笑, 了
盖子 盖 起来,60,adult,盖,NA
搭 不 起来,66,child,搭,NA
妈妈 帮 我 把 这 个 竖 起来,66,child,竖,NA
收 起来 吧,66,child,收, 吧
折 起来,60,child,折,NA
去 把 那个 盖子 盖 起来,60,adult,盖,NA
它们 在 床 上 就 跳 起来,66,adult,跳,NA
妈 我 这样 子 举 起来 的,60,child,举, 的
你 为什么 放 起来 啊,66,adult,放, 啊
白 鹅 妈妈 刚 走 小 星星 又 哼哼唧唧 地 哭 起来,66,adult,哭,NA
然后 就 哼哼唧唧 的 哭 起来 了,60,adult,哭, 了
但是 画 不 起来,60,child,画,NA
你 变 起来 是 这 个 样,66,adult,变, 是 这 个 样
又 跳 起来 了,66,adult,跳, 了
把 这些 都 放 起来,66,adult,放,NA
噢 拼 起来 的,66,adult,拼, 的
就 起来 玩 了,60,child,就, 玩 了
把 那个 拣 起来,66,adult,拣,NA
把 那个 拣 起来,66,adult,拣,NA
拎 起来,66,adult,拎,NA
东西 都 飞 起来 了,66,adult,飞, 了
把 这 收 起来,66,adult,收,NA
先 用 黑 笔 描 起来 是 啊,66,child,描, 是 啊
这 个 搭 不 起来,66,child,搭,NA
你 看 你 画 起来 一点 不 像 啊,66,adult,画, 一点 不 像 啊
小 星星 又 哼哼唧唧 的 哭 了 起来,60,adult,哭,NA
一会儿 你 搭 起来 的 时候 就 会 快 了,72,adult,搭, 的 时候 就 会 快 了
毛 一 重 就 全 包 起来,60,child,包,NA
然后 过 了 一 段 时间 它 就 会 热 起来 了,60,child,热, 了
连 起来,66,adult,连,NA
想 起来 了,66,child,想, 了
想 起来 了,66,adult,想, 了
放 起来 吧,66,adult,放, 吧
把 摞 起来 放,66,adult,摞, 放
站 起来 拍,66,adult,站, 拍
站 起来 拍,66,adult,站, 拍
妈妈 想 不 起来 了,66,adult,想, 了
刷 牙 刷 起来,66,child,刷,NA
三 张 拼 起来,66,child,拼,NA
两 个 三角形 拼 起来,72,adult,拼,NA
跳 起来,66,child,跳,NA
哎 又 在 上面 跳 起来 了 啦,66,adult,跳, 了 啦
早晨 起来 必须 做 什么 呢,66,adult,晨, 必须 做 什么 呢
把 这 个 收 起来,72,adult,收,NA
它 是 几 个 拼 起来 的 吧,72,adult,拼, 的 吧
它 是 搭 起来 的,72,child,搭, 的
拼 起来,72,adult,拼,NA
把 这 个 楼梯 抬 起来,72,adult,抬,NA
捡 起来,66,adult,捡,NA
想 不 想 把 这 个 搭 起来,72,adult,搭,NA
你 看 着 简单 做 起来 就 难 了,72,adult,做, 就 难 了
收 起来,66,adult,收,NA
自己 收 起来,66,adult,收,NA
把 这 个 拼 起来,72,child,拼,NA
把 这些 收 起来,66,adult,收,NA
自己 收 起来,66,adult,收,NA
嗯 这 个 样子 你 可能 画 不 起来 吧,66,adult,画, 吧
底 下面 的 圆形 补 起来,72,child,补,NA
拣 起来 啊,72,adult,拣, 啊
把 你 做 的 和 妈妈 做 的 连接 起来,72,adult,接,NA
往 上 翘 起来,66,adult,翘,NA
把 它 收 起来,72,adult,收,NA
变 不 起来,66,child,变,NA
这 个 画 不 起来 了,66,adult,画, 了
把 这 个 涂 起来 是 啊,72,adult,涂, 是 啊
画 不 起来 了,66,adult,画, 了
涂 起来,72,adult,涂,NA
怎么 变 不 起来 的,66,child,变, 的
一 个 爪子 也 动 不 起来,66,child,动,NA
怎么 会 一 个 爪子 也 动 不 起来 的,66,child,动, 的
你 自己 动 不 起来,66,adult,动,NA
三 个 蓝色 把 它 拿 起来,72,adult,拿,NA
你 早晨 起来 拿 毛巾 干 什么,66,adult,晨, 拿 毛巾 干 什么
画 完 了 把 笔 收 起来,72,adult,收,NA
把 笔 收 起来,72,adult,收,NA
皮皮鼠 吃 跳跳糖 他 就 跳 起来,72,child,跳,NA
要 把 它 收 起来 就 好嘞,66,adult,收, 就 好嘞
我们 把 它 收 起来,72,adult,收,NA
把 它 盖 起来,72,adult,盖,NA
好 你 把 它 搭 起来,72,adult,搭,NA
把 它 收 起来,72,adult,收,NA
搭 不 起来 怎么办 呢,72,child,搭, 怎么办 呢
搭 不 起来 了,72,child,搭, 了
盖 起来,72,adult,盖,NA
盖 起来,72,adult,盖,NA
搭 不 起来,72,child,搭,NA
你 把 底下 搭 起来,72,adult,搭,NA
用 颜色 涂 起来 啊,72,adult,涂, 啊
小 星星 它 掉 在 大 街 上 东张张西望望 然后 就 呜 呜 哭 了 起来,72,adult,哭,NA
这 个 放 不 起来 怎么 办 呢,72,child,放, 怎么 办 呢
这 个 球 能 不 能 拍 起来,72,adult,拍,NA
拍 不 起来,72,child,拍,NA
这 个 小 球 你 能 不 能 拍 起来,72,adult,拍,NA
因为 它 飞 不 起来,72,child,飞,NA
飞 不 起来,72,adult,飞,NA
为什么 飞 不 起来,72,adult,飞,NA
头 能 不 能 抬 起来 一 下,66,adult,抬, 一 下
踢 起来 了,72,adult,踢, 了
头 抬 起来,66,adult,抬,NA
你 先 合 起来,72,child,合,NA
好 这样子 这样子 翘 起来,72,adult,翘,NA
图形 是 拼 不 起来,72,adult,拼,NA
又 吃 跳跳糖 又 跳 起来 跳 起来,72,child,跳, 跳 起来
他们 在 衣柜 上面 跳 起来 乒乒乓乓 的,72,adult,跳, 乒乒乓乓 的
皮皮鼠 爸爸 妈妈 一 走 就 全部 跳 起来 喽,66,adult,跳, 喽
爸爸 妈妈 一 走 他们 就 乱 玩 起来 了,66,adult,玩, 了
还是 没 能 把 这 个 竖 起来,72,adult,竖,NA
我们 把 它 收 起来 吧,72,adult,收, 吧
能 站 起来 啊,72,adult,站, 啊
把 裙子 拎 起来,72,child,拎,NA
拎 不 起来 在 这边,72,adult,拎, 在 这边
可以 合 起来 的,72,child,合, 的
这 个 本来 拿 可以 起来,72,child,以, 拿 可以 起来
爸爸 妈妈 一 走 四 只 皮皮鼠 起来 忍 不 住 起来 吃 跳跳糖 啰,72,adult,鼠, 忍 不 住 起来 吃 跳跳糖 啰
他们 等 爸爸 妈妈 一 走 忍 不 住 起来 吃 跳跳糖,72,adult,住, 吃 跳跳糖
把 它 拼 起来,72,adult,拼,NA
梯形 之间 用 一 个 什么 拼 起来 啊,72,adult,拼, 啊
翘 起来 像 个 小 尾巴,72,child,翘, 像 个 小 尾巴
他 这儿 用 蝴蝶结 系 起来 了,72,child,系, 了
用 蝴蝶结 系 起来 了,72,adult,系, 了
又 在 衣橱 上面 砰砰砰砰 乱跳 起来,66,adult,跳,NA
这 个 颜色 涂 的 糊 起来 了,72,adult,糊, 了
那 我 把 剩下 颜色 涂 起来 啊,72,child,涂, 啊
收 起来,72,adult,收,NA
收 起来,72,adult,收,NA
收 起来,72,adult,收,NA
掉 下来 的 东西 要 收 起来,72,adult,收, 的 东西 要 收 起来
自己 把 它 收 起来,72,adult,收,NA
拿 几 块 先 拼 起来,72,adult,拼,NA
把 它 弄 起来,72,adult,弄,NA
并 起来 没 有 空隙,72,adult,并, 没 有 空隙
一会儿 拼 起来 没 有 空隙 了,72,adult,拼, 没 有 空隙 了
他们 在 柜子 上面 又 乒乓乒乓 地 乱跳 起来 了,72,adult,跳, 了
它 东张张西望望 然后 就 哼哼 地 哭 起来 了,72,adult,哭, 了
把 它 拼 起来,72,adult,拼,NA
拼 起来,72,adult,拼,NA
那 把 它们 放 起来,72,adult,放,NA
老师 一 走 你 就 跟 大家 讲话 起来 了 还是 啊,72,adult,话, 了 还是 啊
把 这 个 收 起来 啊,72,adult,收, 啊
先 收 起来,72,adult,收,NA
又 吃 了 跳跳糖 就 跳 起来 了,72,child,跳, 了
起来,72,adult,NA,NA
把 东西 收 起来,72,adult,收,NA
白 鹅 妈妈 走 了 小 星星 又 哼哼唧唧 地 哭 了 起来,72,adult,哭,NA
我 觉得 有 一 个 机关 可以 发动 起来 的,72,child,动, 的
它 又 吃 了 跳跳糖 跳 起来 了,72,child,跳, 了
又 爬 起来 了,72,child,爬, 了
它们 在 上面 跳 啊 跳 啊 跳 起来 乱蹦 乱跳,72,adult,跳, 乱蹦 乱跳
爸爸 妈妈 一 走 你 就 在 床 上 跳 起来 了 对 不 对,72,adult,跳, 了 对 不 对
站 起来,72,adult,站,NA
眼睛 闭 起来 许 个 愿,72,adult,闭, 许 个 愿
可是 爸爸 妈妈 一 走 三 只 皮皮鼠 又 跳 起来 了 在 地 上 乱跳 了 把 东西 都 摔 下去 了,72,adult,跳, 了 在 地 上 乱跳 了 把 东西 都 摔 下去 了
这 怎么 变 不 起来 的 呢,72,child,变, 的 呢
我 把 它 收 起来,72,child,收,NA
好 把 它 收 起来,72,adult,收,NA
你 怎么 又 玩 起来 了,72,adult,玩, 了
嗯 我 要 把 它 收 起来,72,child,收,NA
好 关 起来,72,adult,关,NA
爸爸 妈妈 又 说 噫 什么 声音 又 想 起来 真 奇怪,72,adult,想, 真 奇怪
我们 看 一 下 再 把 它 收 起来 好吗,72,adult,收, 好吗
拍 着 玩 不 起来 那 就 滚 着 玩,72,adult,玩, 那 就 滚 着 玩
又 跳 起来 了,72,adult,跳, 了
喏 又 开始 皮 起来 了,72,adult,皮, 了
可是 妈妈 刚 闭 眼睛 刚 睡 一会儿 这 小 老鼠 又 跑 到 浴缸 皮 起来 了,72,adult,皮, 了
